Code CIS,Designation de lelement pharmaceutique,Code de la substance,Dénomination de la substance,Dosage de la substance,Reference de ce dosage,Nature du composant,Numero de liaison SA/FT
65183581,poudre,5248,AMOXICILLINE ANHYDRE,"125,00 mg",une cuillère-mesure de 5 ml de suspension reconstituée,FT,1
65183859,comprimé,258,NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES,"3,75 mg (3 DH)",un comprimé,SA,10
65185956,comprimé,11935,TRIFLURIDINE,20 mg,un comprimé,SA,1
65186111,comprimé,7436,FUMARATE DE BISOPROLOL,"3,75 mg",un comprimé,SA,1
65187117,comprimé,34251,CITRATE DE SILDÉNAFIL,,,SA,1
65187416,comprimé,10171,SIMVASTATINE,40 mg,un comprimé,SA,1
65188023,comprimé,32308,VARDÉNAFIL,10 mg,un comprimé,FT,1
65188856,comprimé,19143,TELLURIUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,18
65190191,comprimé,1938,CARBO VEGETABILIS POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
65190921,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,5 mg",un comprimé,SA,2
65191044,crème,5431,LIDOCAÏNE,"7,48 g",100 g de crème pour usage dentaire,SA,1
65191336,comprimé,13551,LILIUM TIGRINUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,100 g de crème pour usage dentaire,SA,18
65193337,comprimé,946,CHLORHYDRATE DE LABÉTALOL,200 mg,un comprimé,SA,1
65193458,gel,3759,CHONDROÏTINE (SULFATE DE) A SODIQUE,1200 mg,un sachet,SA,1
65194581,poudre,5239,"VIRUS DE LA RUBÉOLE (SOUCHE WISTAR RA 27/3) (VIVANT, ATTÉNUÉ) ",au minimum 1 000 DICC50,"une dose de 0,5 ml",SA,3
65195181,poudre,2361,MÉTHYLPREDNISOLONE,40 mg,un flacon,FT,1
65195719,suspension,626,SALBUTAMOL,"100,00 microgrammes",une dose,FT,1
65195879,comprimé,2087,CHLORHYDRATE D'HYDROXYZINE,25 mg,un comprimé,SA,1
65195943,comprimé,1257,DICHLORHYDRATE DE BÉTAHISTINE,8 mg,un comprimé,SA,1
65196244,solution,81058,SOMATROPINE ,8 mg,1 ml,SA,1
65196479,comprimé,17878,LAMIVUDINE,300 mg,un comprimé,SA,2
65196707,comprimé,39727,AMLODIPINE,10 mg,un comprimé,FT,2
65196753,comprimé,2202,PARACÉTAMOL,500 mg,un comprimé,SA,1
65198099,comprimé,96835,ARIPIPRAZOLE,10 mg,un comprimé,SA,1
65198334,comprimé,17256,ÉFAVIRENZ,600 mg,un comprimé,SA,1
65198590,collyre,901,CHLORURE DE SODIUM,"1,400 g",100 ml de collyre,SA,1
65198779,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,50 mg",un comprimé,SA,2
65199404,comprimé,28847,DARUNAVIR,800 mg,un comprimé,SA,1
65200162,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,50 mg",un comprimé,SA,2
65200340,comprimé,96835,ARIPIPRAZOLE,10 mg,un comprimé,SA,1
65201168,comprimé,31302,COLIBACILLINUM POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,18
65201385,solution,25017,MIVACURIUM,"20,00 mg",une ampoule,FT,1
65201684,comprimé,5627,PRIMIDONE,250 mg,un comprimé,SA,1
65202430,comprimé,91381,V.A.B. POUR PRÉPARATIONS HOMÉOPATHIQUES,5CH à 30CH et 9DH à 60DH,un comprimé,SA,17
65203831,comprimé,39413,PITAVASTATINE CALCIQUE,,,SA,1
65203952,comprimé,19414,HYCLATE DE DOXYCYCLINE,,,SA,1
65204851,gélule,4773,OMÉPRAZOLE,10 mg,une gélule,SA,1
65205177,comprimé,2092,IBUPROFÈNE,400 mg,un comprimé,SA,1
65206934,comprimé,54294,FAGOPYRUM ESCULENTUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,17
65207541,solution,48470,CHLORHYDRATE D'ESKÉTAMINE,"5,77 mg",1 mL de solution,SA,1
65208682,collyre,200,MALÉATE DE TIMOLOL,,,SA,2
65208935,comprimé,12123,BROMUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,1 ml,SA,17
65209987,comprimé,20540,ACARBOSE,100 mg,un comprimé,SA,1
65210377,poudre,4910,FACTEUR VIII DE COAGULATION HUMAIN ,1000 UI,10 ml,SA,1
65210929,comprimé,39396,FUMARATE DE FÉSOTÉRODINE,4 mg,un comprimé,SA,1
65212047,comprimé,74460,FOSTAMATINIB DISODIQUE HEXAHYDRATÉ,"189,3 mg",un comprimé,SA,1
65213010,solution,23185,TRÉPROSTINIL SODIQUE,,,SA,1
65213035,comprimé,17878,LAMIVUDINE,100 mg,un comprimé,SA,1
65213430,crème,38394,CORTEX CEREBRAL POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH (crème à 4 %),un comprimé,SA,18
65213665,comprimé,7436,FUMARATE DE BISOPROLOL,10 mg,un comprimé,SA,1
65214799,solution,39318,FOLLITROPINE BÊTA ,700 UI,une cartouche,SA,1
65214977,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,50 mg",un comprimé,SA,2
65215068,comprimé,37,DICLOFÉNAC SODIQUE,"25,00 mg",un comprimé,SA,1
65216234,comprimé,17723,OLANZAPINE,10 mg,un comprimé,SA,1
65216387,comprimé,16849,GABAPENTINE,600 mg,un comprimé,SA,1
65216768,poudre,6379,POLYSTYRÈNE SULFONATE DE SODIUM,"399,0 g",un flacon de 400 g,SA,1
65217119,comprimé,37441,MÉLOXICAM,15 mg,un comprimé,SA,1
65218235,gélule,36065,DUTASTÉRIDE,"0,5 mg",une gélule,SA,1
65218477,comprimé,94553,ÉVÉROLIMUS,5 mg,un comprimé,SA,1
65220275,comprimé,38524,PANTOPRAZOLE,20 mg,un comprimé,FT,1
65220720,solution,46352,DARBÉPOÉTINE ALFA ,40 microgrammes,1 ml,SA,1
65220909,comprimé,38607,QUÉTIAPINE (FUMARATE DE),,,SA,1
65221637,comprimé,19809,ATORVASTATINE,40 mg,un comprimé,FT,1
65221726,gélule,72101,DULOXÉTINE,30 mg,une gélule,FT,1
65222746,solution,31035,IOBENGUANE (131I),"9,25 MBq à la date de calibration",1 mL,SA,1
65224035,comprimé,1807,ÉTHINYLESTRADIOL,"0,030 mg",un comprimé,SA,1
65224722,comprimé,26682,LÉTROZOLE,"2,5 mg",un comprimé,SA,1
65224811,comprimé,9322,THYMUSINE POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,18
65225870,comprimé,37430,RISPÉRIDONE,4 mg,un comprimé,SA,1
65226456,gaz,44570,OXYGÈNE,qs (sous une pression de 200 bars),un comprimé,SA,1
65227063,comprimé,26727,ROSUVASTATINE CALCIQUE,,,SA,1
65227405,solution,3218,MALÉATE DE DEXCHLORPHÉNIRAMINE,"5,00 mg",une ampoule de 1 ml,SA,1
65228012,gélule,64391,LÉNALIDOMIDE,25 mg,une gélule,SA,1
65228400,solution,72525,INSULINE LISPRO RECOMBINANTE ,100 UI,1 ml,SA,1
65228610,comprimé,68776,ENTÉCAVIR MONOHYDRATÉ,,,SA,1
65229114,comprimé,46744,TOSILATE DE PÉRINDOPRIL,5 mg,un comprimé,SA,1
65230796,comprimé,987,ACÉTATE DE CYPROTÉRONE,100 mg,un comprimé,SA,1
65231460,gélule,4773,OMÉPRAZOLE,20 mg,une gélule,SA,1
65231841,poudre,4822,COLISTIMÉTHATE SODIQUE,1 million d'unités internationales,un flacon de poudre,SA,1
65232039,gélule,2463,NIFUROXAZIDE,200 mg,une gélule,SA,1
65232651,gélule,84452,APRÉPITANT,80 mg,une gélule,SA,1
65233550,gélule,39422,PRÉGABALINE,150 mg,une gélule,SA,1
65233689,collyre,943,DICHLORHYDRATE DE PICLOXYDINE,"0,2 mg",un récipient unidose,SA,2
65233835,comprimé,970,CHLORHYDRATE DE SOTALOL,160 mg,un comprimé,SA,1
65235238,comprimé,35029,FROVATRIPTAN,"2,50 mg",un comprimé,FT,1
65235359,comprimé,7436,HÉMIFUMARATE DE BISOPROLOL,10 mg,un comprimé,SA,1
65235590,comprimé,95484,AMBRISENTAN,10 mg,un comprimé,SA,1
65236258,solution,90,SULFATE DE POTASSIUM,"3,13 g",un flacon,SA,3
65237214,gélule,33207,ROSUVASTATINE,10 mg,une gélule,SA,1
65238711,collyre,1608,DEXAMÉTHASONE,100 mg,100 ml de collyre,SA,1
65239674,granulés,1023,ACIDE ASCORBIQUE,"0,75 g",100 g de granulés,SA,1
65239699,comprimé,355,MALÉATE DE TRIMÉBUTINE,200 mg,un comprimé,SA,1
65241522,poudre,59983,MÉROPÉNEM TRIHYDRATÉ,,,SA,1
65242357,solution,68590,SUGAMMADEX SODIQUE,,,SA,1
65242617,gaz,44570,OXYGÈNE,"qs (sous une pression inférieure ou égale à 12 bar, de -180 à -150°C)",1 mL de solution,SA,1
65242784,comprimé,2560,CHLORHYDRATE DE MÉBÉVÉRINE,200 mg,un comprimé,SA,1
65243256,comprimé,15734,VALSARTAN,40 mg,un comprimé,SA,1
65243459,solution,51765,DÉNOSUMAB ,120 mg,un flacon,SA,1
65243466,comprimé,76840,MOXONIDINE,"0,4 mg",un comprimé,SA,1
65244963,comprimé,5087,CHLORHYDRATE D'OXYCODONE,20 mg,un comprimé,SA,1
65245613,solution,6494,ACÉTATE D'OCTRÉOTIDE,,,SA,1
65247087,poudre,5248,AMOXICILLINE ANHYDRE,1000 mg,un sachet-dose,FT,1
65247258,comprimé,4593,BRYONIA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un sachet-dose,SA,18
65247265,collyre,1539,CYANOCOBALAMINE,"0,2 mg","0,4 ml",SA,1
65247735,comprimé,3885,LÉVODOPA,150 mg,un comprimé,SA,1
65247870,poudre,53745,ALBUTRÉPÉNONACOG ALFA ,500 UI,un flacon,SA,1
65248246,comprimé,91877,CAPÉCITABINE,150 mg,un comprimé,SA,1
65249056,gélule,45973,BITARTRATE DE MERCAPTAMINE,"73,70 mg",une gélule,SA,1
65249362,pansement,3496,POVIDONE IODÉE,10 g,100 g,SA,1
65249953,gélule,823,KÉTOPROFÈNE,200 mg,une gélule,SA,1
65250375,capsule,6088,ISOTRÉTINOÏNE,10 mg,une capsule,SA,1
65250560,comprimé,5621,ROXITHROMYCINE,150 mg,un comprimé,SA,1
65251121,comprimé,1903,IPÉCA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
65253528,comprimé,5248,AMOXICILLINE,1 g,un comprimé,FT,1
65254676,gélule,37973,RIVASTIGMINE,"4,5 mg",une gélule,FT,1
65254758,comprimé,3902,FÉNOFIBRATE,160 mg,un comprimé,SA,1
65254854,comprimé,2092,IBUPROFÈNE,400 mg,un comprimé,SA,1
65254879,gélule,39727,AMLODIPINE,5 mg,une gélule,FT,1
65255066,comprimé,21875,PIRFÉNIDONE,267 mg,un comprimé,SA,1
65256093,solution,53859,DITARTRATE DE VINFLUNINE,,,SA,1
65256289,gel,1785,ÉRYTHROMYCINE,"4,00 g",100 g de gel,SA,1
65256474,comprimé,80180,NÉVIRAPINE ANHYDRE,200 mg,un comprimé,SA,1
65256499,solution,234,HAMAMÉLIS DE VIRGINIE (EXTRAIT D') (FLUIDE),"6,250 g",100 ml,SA,3
65256606,gélule,11673,URAPIDIL,30 mg,une gélule,SA,1
65259207,comprimé,71153,TELMISARTAN,40 mg,un comprimé,SA,1
65259762,comprimé,95496,ROXADUSTAT,50 mg,un comprimé,SA,1
65261005,solution,70202,BÉVACIZUMAB ,25 mg,1 mL de solution à diluer,SA,1
65261329,granulés,91389,IVACAFTOR,25 mg,un sachet,SA,1
65261375,solution,67056,ACIDE L FOLINIQUE,"25,00 mg",un flacon,FT,1
65261489,ovule,3929,NITRATE D'ÉCONAZOLE,150 mg,un ovule,SA,1
65261628,comprimé,10171,SIMVASTATINE,40 mg,un comprimé,SA,2
65262018,comprimé,39306,EXÉMESTANE,25 mg,un comprimé,SA,1
65262477,comprimé,73208,PRAVASTATINE SODIQUE,20 mg,un comprimé,SA,1
65262744,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,5 mg",un comprimé,SA,2
65263440,comprimé,98763,CHLORHYDRATE DE MIDODRINE,"2,5 mg",un comprimé,SA,1
65263629,comprimé,9195,RHAMNUS FRANGULA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
65264446,comprimé,34251,CITRATE DE SILDÉNAFIL,,,SA,1
65265313,comprimé,977,SPIRONOLACTONE,25 mg,un comprimé,SA,1
65265384,comprimé,3682,MALÉATE D'ÉNALAPRIL,20 mg,un comprimé,SA,1
65265651,comprimé,15734,VALSARTAN,160 mg,un comprimé,SA,2
65265758,gélule,15078,THÉOPHYLLINE,300 mg,une gélule,SA,1
65265765,comprimé,5,ACÉTYLSALICYLIQUE (ACIDE),500 mg,un comprimé,SA,1
65267855,comprimé,73,BISACODYL,5 mg,un comprimé,SA,1
65268042,comprimé,6431,LORATADINE,10 mg,un comprimé,SA,1
65269094,comprimé,17098,TÉRIFLUNOMIDE,14 mg,un comprimé,SA,1
65269781,gélule,93657,RACÉCADOTRIL,100 mg,une gélule,SA,1
65270506,solution,94880,CLOFARABINE,1 mg,1 ml,SA,1
65271120,comprimé,19473,BARYTA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES,3CH à 30CH et 5DH à 60DH,1 ml,SA,18
65271985,comprimé,29337,TÉNOFOVIR DISOPROXIL,245 mg,un comprimé,FT,2
65272215,lyophilisat,1,CHLORHYDRATE DE LOPÉRAMIDE,2 mg,un lyophilisat,SA,1
65272941,capsule,26649,CICLOSPORINE,50 mg,une capsule,SA,1
65274084,comprimé,37441,MÉLOXICAM,15 mg,un comprimé,SA,1
65274629,comprimé,11532,RAMIPRIL,10 mg,un comprimé,SA,1
65275154,gélule,64391,LÉNALIDOMIDE,20 mg,une gélule,SA,1
65275325,solution,87746,TOPOTÉCANE (CHLORHYDRATE DE),1 mg,1 ml de solution,SA,1
65275357,gaz,75712,PROTOXYDE D'AZOTE,qs (gaz liquéfié sous une pression de 44 bar à 15 °C),1 ml de solution,SA,1
65276110,comprimé,428,CARBONATE DE CALCIUM,1500 mg,un comprimé,SA,1
65276345,comprimé,9639,NAJA TRIPUDIANS POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,18
65278054,comprimé,2064,HYDROCHLOROTHIAZIDE,"6,25 mg",un comprimé,SA,2
65280315,crème,80839,"EQUISETUM ARVENSE, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",2CH à 30CH et 4DH à 60DH (crème à 4 %),un comprimé,SA,18
65281285,comprimé,1786,ESTRADIOL ANHYDRE,1 mg,un comprimé,FT,1
65282234,gélule,39422,PRÉGABALINE,25 mg,une gélule,SA,1
65282348,comprimé,467,CODÉINE,"14,93 mg",un comprimé,FT,1
65282490,solution,3044,CARBOCISTÉINE,5 g,100 ml de solution buvable,SA,1
65283158,poudre,4822,COLISTIMÉTHATE SODIQUE,3 000 000 U.I.,un flacon,SA,1
65283311,solution,71179,USTÉKINUMAB ,45 mg,"0,5 ml de solution",SA,1
65283820,gélule,29335,SUNITINIB,25 mg,une gélule,FT,1
65284281,émulsion,3929,NITRATE D'ÉCONAZOLE,"1,000 g",100 g,SA,1
65285180,comprimé,73594,CANDÉSARTAN CILEXÉTIL,32 mg,un comprimé,SA,1
65287548,solution,11673,URAPIDIL,100 mg,une ampoule de 20 mL,SA,1
65288721,solution,2345,MÉTHOTREXATE,"500,00 mg",un flacon de 20 mL,SA,1
65290583,comprimé,89276,FÉBUXOSTAT,120 mg,un comprimé,SA,1
65290658,gélule,3226,ACÉTATE DE FLÉCAÏNIDE,50 mg,une gélule,SA,1
65291272,suspension,899,BICARBONATE DE SODIUM,267 mg,un sachet de 10 ml,SA,2
65291824,comprimé,38893,PHOSPHATE DE RUXOLITINIB,"6,6 mg",un comprimé,SA,1
65294076,comprimé,39306,EXÉMESTANE,25 mg,un comprimé,SA,6
65294293,solution,27368,CHLOROBUTANOL HÉMIHYDRATÉ,"0,5 g",100 ml de solution pour bain de bouche,SA,2
65294763,granulés,13556,PANCRÉATINE ,"60,12 mg",100 mg de granulés,SA,1
65296084,comprimé,85578,ACIDE CARGLUMIQUE,200 mg,un comprimé,SA,1
65301147,gélule,20256,CHLORHYDRATE DE VENLAFAXINE,,,SA,1
65301389,gélule,27916,TOSYLATE DE TALAZOPARIB,,,SA,1
65301827,éluat,8554,SODIUM (PERTECHNÉTATE [99M TC] DE),,,FT,1
65303582,solution,70202,BÉVACIZUMAB ,25 mg,1 mL de solution à diluer,SA,1
65303899,comprimé,73242,ÉZÉTIMIBE,10 mg,un comprimé,SA,1
65304620,comprimé,39396,FUMARATE DE FÉSOTÉRODINE,8 mg,un comprimé,SA,1
65304816,comprimé,54300,AVAPRITINIB,300 mg,un comprimé,SA,1
65305327,comprimé,4442,METFORMINE,780 mg,un comprimé,FT,1
65306016,suspension,24381,BUDÉSONIDE,"0,50 mg",un récipient unidose de 2 ml,SA,1
65306411,poudre,91931,TIGÉCYCLINE,50 mg,un flacon,SA,1
65306692,comprimé,6436,CALCAREA CARBONICA OSTREARUM POUR PRÉPARATIONS HOMÉOPATHIQUES,"0,625 mg (3 DH)",un comprimé,SA,2
65306863,comprimé,3682,MALÉATE D'ÉNALAPRIL,20 mg,un comprimé,SA,1
65307253,comprimé,28969,CAULOPHYLLUM THALICTROIDES POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,17
65309165,comprimé,38524,PANTOPRAZOLE,20 mg,un comprimé,FT,1
65309464,comprimé,56011,GEUM URBANUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
65310178,comprimé,823,KÉTOPROFÈNE,200 mg,un comprimé,SA,1
65310242,comprimé,3902,FÉNOFIBRATE,160 mg,un comprimé,SA,1
65311860,comprimé,975,SPIRAMYCINE,"1,5 M U.I.",un comprimé,SA,1
65312019,comprimé,25681,LACOSAMIDE,100 mg,un comprimé,SA,1
65312567,comprimé,1796,ÉTAMSYLATE,500 mg,un comprimé,SA,1
65313021,solution,60159,FILGRASTIM ,480 microgrammes,"une seringue préremplie de 0,8 ml de solution",SA,1
65314109,comprimé,39727,AMLODIPINE,5 mg,un comprimé,FT,2
65314130,gélule blanche,84452,APRÉPITANT,80 mg,une gélule,SA,1
65314422,comprimé,3682,MALÉATE D'ÉNALAPRIL,5 mg,un comprimé,SA,1
65314657,solution,45082,RITUXIMAB ,1400 mg,un flacon,SA,1
65315136,solution,9231,AMISULPRIDE,100 mg,1 mL de solution buvable,SA,1
65315798,comprimé,382,LÉVOTHYROXINE SODIQUE,200 microgrammes,un comprimé,SA,1
65316156,comprimé,1807,ÉTHINYLESTRADIOL,"0,030 mg",un comprimé,SA,6
65316206,crème,30911,CICLOPIROX OLAMINE,1 g,100 g de créme,SA,1
65317023,solution,812,BACLOFÈNE,10 mg,une ampoule,SA,1
65317735,comprimé,2529,HYDROCOTYLE ASIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,une ampoule,SA,18
65317895,comprimé,13112,ALPRAZOLAM,"0,25 mg",un comprimé,SA,1
65319049,solution,23684,PÉMÉTREXED,25 mg,1 mL de solution,SA,1
65319857,solution,1080,ADRÉNALINE BASE,"0,0170 mg",une cartouche,FT,2
65319985,solution,21962,COMPLEXE D'HYDROXYDE FERRIQUE - SACCHAROSE,,,SA,1
65320140,granulés,74694,"ISPAGHUL (GRAINE D'), TÉGUMENT DE LA",70 g,100 g de granulés,SA,1
65320254,comprimé,10171,SIMVASTATINE,40 mg,un comprimé,SA,1
65320578,comprimé,47018,CHLORHYDRATE DE PAROXÉTINE ANHYDRE,,,SA,1
65322262,comprimé,2202,PARACÉTAMOL,400 mg,un comprimé,SA,2
65323026,comprimé,428,CARBONATE DE CALCIUM,680 mg,un comprimé,SA,2
65323898,comprimé,73,BISACODYL,5 mg,un comprimé,SA,1
65324007,poudre,872,AMOXICILLINE SODIQUE,,,SA,1
65324797,comprimé,80102,MONTÉLUKAST,5 mg,un comprimé,FT,1
65325739,solution,80114,ADALIMUMAB ,80 mg,"un stylo prérempli de 0,8 mL",SA,1
65326798,granulés,24563,CLARITHROMYCINE,50 mg,1 ml de suspension buvable reconstituée,SA,1
65328888,pommade,4458,TRINITRATE DE GLYCÉRYLE,4 mg,1 g de pommade rectale,SA,1
65329132,dispersion,99607,IDÉCABTAGÈNE VICLEUCEL ,260 - 500 x 1 000 000 cellules dans une ou plusieurs poches,1 g de pommade rectale,SA,1
65329253,comprimé,1099,SULFATE DE MORPHINE,"200,00 mg",un comprimé,SA,2
65329591,poudre,38422,HORMONE FOLLICULOSTIMULANTE RECOMBINANTE ALFA ,87 microgrammes,un flacon,SA,1
65329965,comprimé,39727,AMLODIPINE,5 mg,un comprimé,FT,2
65329997,comprimé,40037,RAPHANUS SATIVUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,17
65330992,comprimé,3225,HYDROGÉNOSUCCINATE DE DOXYLAMINE,15 mg,un comprimé,SA,1
65332662,comprimé,98159,TADALAFIL,20 mg,un comprimé,SA,1
65332737,comprimé,27352,TOSILATE DE SORAFÉNIB,,,SA,1
65333230,comprimé,95609,LÉVÉTIRACÉTAM,1000 mg,un comprimé,SA,1
65333974,comprimé,7055,DOXYCYCLINE HYDRATÉE,100 mg,un comprimé,FT,1
65334930,comprimé,27387,CHLORHYDRATE D'ERLOTINIB,,,SA,1
65335345,comprimé,37430,RISPÉRIDONE,2 mg,un comprimé,SA,1
65335733,comprimé,18827,DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ,,,SA,1
65335982,gélule,2202,PARACÉTAMOL,500 mg,une gélule,SA,1
65336041,comprimé,33342,RABÉPRAZOLE SODIQUE MONOHYDRATÉ,10 mg,un comprimé,SA,1
65336568,poudre,1983,IMIPÉNEM MONOHYDRATÉ,,,SA,1
65337271,comprimé,66219,CHLORHYDRATE DE FEXOFÉNADINE,"180,000 mg",un comprimé,SA,1
65338028,comprimé,5334,CITRATE DE CLOMIFÈNE,50 mg,un comprimé,SA,1
65338359,poudre,31269,DEXRAZOXANE,20 mg,1 ml de solution reconstituée,FT,1
65339379,comprimé,78975,ZOLMITRIPTAN,"2,5 mg",un comprimé,SA,1
65340100,solution,2543,OXOMÉMAZINE,"0,033 g",100 ml de solution buvable,SA,1
65340488,comprimé,10091,SUCCINATE DE MÉTOPROLOL,"95,00 mg",un comprimé,SA,1
65340755,solution,29076,MÉTHOXY POLYÉTHYLÈNE GLYCOL-ÉPOÉTINE BÊTA ,120 microgrammes,une seringue préremplie,SA,1
65342343,comprimé,80547,ORIGANUM VULGARE POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,une seringue préremplie,SA,18
65343420,gel,52310,CARBOMÈRE 974P,"0,250 g",100 g,SA,1
65343573,comprimé,21888,CHLORHYDRATE DE BUPRÉNORPHINE,,,SA,1
65344586,solution,80114,ADALIMUMAB ,40 mg,"0,8 ml",SA,1
65346174,comprimé,20740,SITAGLIPTINE,50 mg,un comprimé,FT,1
65346644,capsule,36065,DUTASTÉRIDE,"0,5 mg",une capsule,SA,1
65346733,poudre,67269,VONICOG ALFA ,650 UI,un flacon,SA,1
65346765,comprimé,975,SPIRAMYCINE,"1,5 M.U.I.",un comprimé,SA,1
65347326,sirop,25681,LACOSAMIDE,10 mg,1 ml,SA,1
65347714,comprimé,34251,CITRATE DE SILDÉNAFIL,,,SA,1
65347835,solution,49207,CHLORHYDRATE DE MÉMANTINE,10 mg,1 ml de solution buvable,SA,1
65347924,collyre,473,CROMOGLICATE DE SODIUM,"2,00 g",100 ml,SA,1
65348136,comprimé,6978,MANGANUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,100 ml,SA,17
65348481,solution,45082,RITUXIMAB ,100 mg,un flacon,SA,7
65348773,gélule,93657,RACÉCADOTRIL,100 mg,une gélule,SA,1
65350781,comprimé,39357,BOSENTAN,"62,5 mg",un comprimé,FT,1
65352330,comprimé,20890,TOPIRAMATE,100 mg,un comprimé,SA,1
65353140,comprimé,86571,CHLORHYDRATE DE TRAMADOL,150 mg,un comprimé,SA,1
65354096,comprimé,3009,ATOVAQUONE,250 mg,un comprimé,SA,1
65355223,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,5 mg",un comprimé,SA,2
65355771,poudre,582,MITOMYCINE,20 mg,un flacon,SA,1
65356777,poudre,6494,ACÉTATE D'OCTRÉOTIDE,,,SA,1
65357943,comprimé,196,LÉVONORGESTREL,"1,5 mg",un comprimé,SA,1
65358002,comprimé,2092,IBUPROFÈNE,400 mg,un comprimé,FT,1
65358155,solution,59477,OXYDE DE GADOLINIUM,"0,453 mg",1 mLde solution,SA,1
65358970,poudre,47372,CASPOFUNGINE,50 mg,un flacon,FT,1
65359150,comprimé,20819,URTICA URENS POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un flacon,SA,17
65359652,comprimé,24441,CO-CRISTAL D'AGOMÉLATINE-ACIDE CITRIQUE,,,SA,1
65360359,gélule,43970,MARRONNIER D'INDE (ÉCORCE DE) (EXTRAIT SEC D'),200 mg,une gélule,SA,1
65361009,gélule,915,CHLORHYDRATE DE DILTIAZEM,"120,00 mg",une gélule,SA,1
65361468,comprimé,30470,PRASUGREL,10 mg,un comprimé,FT,1
65361703,solution,60929,DICHLORHYDRATE DE CÉTIRIZINE,10 mg,1 ml de solution buvable,SA,1
65363113,suspension,19944,PALIPÉRIDONE,75 mg,une seringue préremplie,FT,1
65364681,comprimé,19809,ATORVASTATINE,10 mg,un comprimé,FT,2
65365616,comprimé,4511,CHLORURE DE TROSPIUM,20 mg,un comprimé,SA,1
65366472,comprimé,762,ATÉNOLOL,50 mg,un comprimé,SA,1
65366508,suppositoire,532,GLYCÉROL,"1,20 g",un suppositoire,SA,1
65367122,solution,34,CHLORHYDRATE DE BUPIVACAÏNE,"5,26 mg",1 ml,SA,1
65367581,collyre,19476,POVIDONE,6 mg,un récipient unidose,SA,1
65369123,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,5 mg",un comprimé,SA,3
65369582,poudre,26569,VÉLAGLUCÉRASE ALFA ,400 unités,un flacon,SA,1
65370047,comprimé,15304,LISINOPRIL ANHYDRE,20 mg,un comprimé,FT,1
65371195,comprimé,36746,CHLORHYDRATE DE LERCANIDIPINE,10 mg,un comprimé,SA,1
65371633,granulés,374,ÉRYTHROMYCINE (ÉTHYLSUCCINATE D'),120 000 UI,un sachet,SA,1
65372144,comprimé,4129,ACÉTYLLEUCINE,500 mg,un comprimé,SA,1
65372571,poudre,49595,CÉFÉPIME,1 g,un flacon,FT,1
65373164,comprimé,86571,CHLORHYDRATE DE TRAMADOL,50 mg,un comprimé,SA,1
65373285,comprimé,2171,PREDNISONE,5 mg,un comprimé,SA,1
65373901,crème,3929,NITRATE D'ÉCONAZOLE,1 g,100 g,SA,1
65374654,solution,2019,HALOPÉRIDOL,5 mg,une ampoule de 1 ml,SA,1
